id,friendly_url,name,alternate_name,post,latitude,longitude,bounds_northeast_latitude,bounds_northeast_longitude,bounds_southwest_latitude,bounds_southwest_longitude,viewport_northeast_latitude,viewport_northeast_longitude,viewport_southwest_latitude,viewport_southwest_longitude,type,parent_id,place_id,formatted_address,old_id
1,australia,Australia,AU,0,-25.274398,133.775136,-9.219822,159.255497,-54.777219,112.921434,-9.219822,159.255497,-54.777219,112.921434,country,-1,ChIJ38WHZwf9KysRUhNblaFnglM,Australia,0
101,new-south-wales,New South Wales,NSW,0,-33.864174,151.205287,-28.156192,153.638782,-37.505032,140.999212,-28.156192,153.638782,-37.505032,140.999212,state,1,ChIJDUte93TLDWsRLZ_EIhGvgBc,"New South Wales, Australia",0
102,victoria,Victoria,VIC,0,-37.471308,144.785153,-33.981051,149.976488,-39.224731,140.962477,-33.981051,149.976488,-39.224731,140.962477,state,1,ChIJT5UYfksx1GoRNJWCvuL8Tlo,"Victoria, Australia",0
103,queensland,Queensland,QLD,0,-20.917574,142.702796,-9.92973,153.55292,-29.178588,137.994575,-9.92973,153.55292,-29.178588,137.994575,state,1,ChIJ_dxieiTf1GsRmb4SdiLQ8vU,"Queensland, Australia",0
104,australian-capital-territory,Australian Capital Territory,ACT,0,-35.473468,149.012368,-35.124513,149.399285,-35.920531,148.764097,-35.124513,149.399285,-35.920531,148.764097,state,1,ChIJSxCboN9MFmsRA3huXDhEWOc,"Australian Capital Territory, Australia",0
105,northern-territory,Northern Territory,NT,0,-19.491411,132.55096,-10.90552,137.999009,-26.01687,129.000424,-10.90552,137.999009,-26.01687,129.000424,state,1,ChIJDxnz5sJyUSsRdScAAAAAAAA,"Northern Territory, Australia",0
106,south-australia,South Australia,SA,0,-30.000232,136.209155,-25.996392,141.00288,-38.06121,129.000516,-25.996392,141.00288,-38.06121,129.000516,state,1,ChIJ88foW55Yp2oR2ND6PZl5fts,"South Australia, Australia",0
107,western-australia,Western Australia,WA,0,-27.672817,121.62831,-13.68949,129.002598,-35.193994,112.921219,-13.68949,129.002598,-35.193994,112.921219,state,1,ChIJ0YTziS4qOSoRmaMAMt9KDm4,"Western Australia, Australia",0
108,tasmania,Tasmania,TAS,0,-41.365042,146.628491,-39.438036,148.49876,-43.74298,143.818285,-39.438036,148.49876,-43.74298,143.818285,state,1,ChIJz_o0fifteqoRZEBAKd2ljyo,"Tasmania, Australia",0
6001,barangaroo,Barangaroo,Barangaroo,2000,-33.859983,151.202128,-33.855259,151.20314,-33.86579,151.200031,-33.855259,151.20314,-33.86579,151.200031,suburb,101,ChIJ1ZL9NkGuEmsRUEkzFmh9AQU,"Barangaroo NSW, Australia",716
6002,dawes-point,Dawes Point,Dawes Point,2000,-33.853969,151.208339,-33.853521,151.210066,-33.858786,151.20422,-33.853521,151.210066,-33.858786,151.20422,suburb,101,ChIJJbGZ4FyuEmsRILQyFmh9AQU,"Dawes Point NSW, Australia",717
6003,haymarket,Haymarket,Haymarket,2000,-33.879193,151.20339,-33.877201,151.20922,-33.885416,151.199815,-33.877201,151.20922,-33.885416,151.199815,suburb,101,ChIJBbYoni-uEmsR4LkyFmh9AQU,"Haymarket NSW 2000, Australia",718
6004,millers-point,Millers Point,Millers Point,2000,-33.858378,151.203589,-33.855253,151.206911,-33.863284,151.201456,-33.855253,151.206911,-33.863284,151.201456,suburb,101,ChIJe3b-M1yuEmsRIMEyFmh9AQU,"Millers Point NSW 2000, Australia",719
6005,sydney,Sydney,Sydney,2000,-33.867487,151.20699,-33.424598,151.342636,-34.169249,150.502229,-33.424598,151.342636,-34.169249,150.502229,suburb,101,ChIJP3Sa8ziYEmsRUKgyFmh9AQM,"Sydney NSW, Australia",721
6006,the-rocks,The Rocks,The Rocks,2000,-33.859635,151.208701,-33.854412,151.210587,-33.863322,151.205399,-33.854412,151.210587,-33.863322,151.205399,suburb,101,ChIJs49dtkKuEmsRYM0yFmh9AQU,"The Rocks NSW 2000, Australia",723
6007,ultimo,Ultimo,Ultimo,2007,-33.883733,151.202034,-33.873779,151.203265,-33.884492,151.1893,-33.873779,151.203265,-33.884492,151.1893,suburb,101,ChIJLV6IoE6uEmsR0M0yFmh9AQU,"Ultimo NSW 2007, Australia",730
6008,chippendale,Chippendale,Chippendale,2008,-33.88448,151.19734,-33.883584,151.20698,-33.889101,151.193117,-33.883584,151.20698,-33.889101,151.193117,suburb,101,ChIJmX02FgWuEmsRILEyFmh9AQU,"Chippendale NSW 2008, Australia",731
6009,darlington,Darlington,Darlington,2008,-33.891227,151.19585,-33.887715,151.198838,-33.894048,151.187731,-33.887715,151.198838,-33.894048,151.187731,suburb,101,ChIJpUONmyywEmsRALQyFmh9AQU,"Darlington NSW, Australia",732
6010,pyrmont,Pyrmont,Pyrmont,2009,-33.86879,151.194217,-33.86238,151.198973,-33.876212,151.18606,-33.86238,151.198973,-33.876212,151.18606,postal_code,101,ChIJmS70ajauEmsRYIe6P2t9ARw,"Pyrmont NSW 2009, Australia",733
6011,darlinghurst,Darlinghurst,Darlinghurst,2010,-33.88068,151.21862,-33.873665,151.229514,-33.885093,151.212095,-33.873665,151.229514,-33.885093,151.212095,suburb,101,ChIJ7bV1-XuuEmsR8LMyFmh9AQU,"Darlinghurst NSW, Australia",734
6012,surry-hills,Surry Hills,Surry Hills,2010,-33.890647,151.212925,-33.876889,151.218092,-33.892115,151.201598,-33.876889,151.218092,-33.892115,151.201598,suburb,101,ChIJW7w1-SGuEmsRkMwyFmh9AQU,"Surry Hills NSW 2010, Australia",735
6013,elizabeth-bay,Elizabeth Bay,Elizabeth Bay,2011,-33.872084,151.228535,-33.868171,151.231699,-33.875334,151.224782,-33.868171,151.231699,-33.875334,151.224782,suburb,101,ChIJh0ghm3SuEmsRMLYyFmh9AQU,"Elizabeth Bay NSW 2011, Australia",736
6014,potts-point,Potts Point,Potts Point,2011,-33.871732,151.222907,-33.858105,151.230759,-33.875975,151.221101,-33.858105,151.230759,-33.875975,151.221101,suburb,101,ChIJK6kIb3GuEmsRIMcyFmh9AQU,"Potts Point NSW 2011, Australia",738
6015,rushcutters-bay,Rushcutters Bay,Rushcutters Bay,2011,-33.876206,151.227812,-33.872152,151.230607,-33.876737,151.224384,-33.872152,151.230607,-33.876737,151.224384,suburb,101,ChIJQxk9oQyuEmsRwMkyFmh9AQU,"Rushcutters Bay NSW 2011, Australia",739
6016,woolloomooloo,Woolloomooloo,Woolloomooloo,2011,-33.869235,151.220172,-33.865697,151.222569,-33.875102,151.212748,-33.865697,151.222569,-33.875102,151.212748,suburb,101,ChIJZw_T5BKuEmsR4NAyFmh9AQU,"Woolloomooloo NSW 2011, Australia",740
6017,alexandria,Alexandria,Alexandria,2015,-33.901882,151.20001,-33.894966,151.202983,-33.921461,151.180965,-33.894966,151.202983,-33.921461,151.180965,suburb,101,ChIJa0nQNrSxEmsRMKsyFmh9AQU,"Alexandria NSW 2015, Australia",743
6018,beaconsfield,Beaconsfield,Beaconsfield,2015,-33.912306,151.200447,-33.90837,151.202766,-33.914657,151.197887,-33.90837,151.202766,-33.914657,151.197887,suburb,101,ChIJx4wWlLmxEmsRAKkyFmh9AQU,"Beaconsfield NSW 2015, Australia",744
6019,eveleigh,Eveleigh,Eveleigh,2015,-33.897342,151.195197,-33.891504,151.199742,-33.899941,151.185365,-33.891504,151.199742,-33.899941,151.185365,suburb,101,ChIJXY0B_c2xEmsR4LYyFmh9AQU,"Eveleigh NSW 2015, Australia",745
6020,redfern,Redfern,Redfern,2016,-33.892507,151.201718,-33.888688,151.216841,-33.897639,151.196442,-33.888688,151.216841,-33.897639,151.196442,suburb,101,ChIJZb8whd6xEmsREMgyFmh9AQU,"Redfern NSW 2016, Australia",746
6021,waterloo,Waterloo,Waterloo,2017,-33.896046,151.199995,-33.895105,151.215654,-33.905685,151.198923,-33.895105,151.215654,-33.905685,151.198923,suburb,101,ChIJG2TSH8OxEmsR0M4yFmh9AQU,"Waterloo NSW 2017, Australia",747
6022,zetland,Zetland,Zetland,2017,-33.905553,151.206507,-33.902969,151.213985,-33.912213,151.202311,-33.902969,151.213985,-33.912213,151.202311,suburb,101,ChIJG2DVVsCxEmsRgNEyFmh9AQU,"Zetland NSW 2017, Australia",748
6023,eastlakes,Eastlakes,Eastlakes,2018,-33.924669,151.211667,-33.922933,151.22141,-33.938378,151.204255,-33.922933,151.22141,-33.938378,151.204255,suburb,101,ChIJbcQ4yKexEmsRwLUyFmh9AQU,"Eastlakes NSW 2018, Australia",749
6024,rosebery,Rosebery,Rosebery,2018,-33.922516,151.204092,-33.91016,151.213981,-33.927096,151.195464,-33.91016,151.213981,-33.927096,151.195464,suburb,101,ChIJT83LdLyxEmsRAMkyFmh9AQU,"Rosebery NSW 2018, Australia",750
6025,banksmeadow,Banksmeadow,Banksmeadow,2019,-33.959961,151.211044,-33.942473,151.223649,-33.969893,151.20624,-33.942473,151.223649,-33.969893,151.20624,suburb,101,ChIJ9UxZL0GxEmsR8KwyFmh9AQU,"Banksmeadow NSW 2019, Australia",751
6026,botany,Botany,Botany,2019,-33.944384,151.196287,-33.937185,151.209729,-33.961588,151.183791,-33.937185,151.209729,-33.961588,151.183791,suburb,101,ChIJs30P0w6xEmsR4K0yFmh9AQU,"Botany NSW 2019, Australia",752
